date,open,high,low,close,volume,X1,X2
9/14/16,54.26,54.35,53.8,53.9,6707850,55.54490105,1.1134
9/15/16,53.96,54.13,53.54,54.11,8080426,55.40824381,0.4868
9/16/16,53.94,54.09,53.41,53.74,10207750,55.24936344,0.541175
9/19/16,53.96,53.9739,52.9,53.01,9231628,55.03609074,-0.28435
9/20/16,53.4,53.435,53.05,53.3,8731499,54.87074876,2.17435
9/21/16,53.43,54.03,53.28,53.98,9213637,54.78591555,1.762425
9/22/16,54.2,54.6,53.965,54.39,9096709,54.7482093,1.248725
9/23/16,54,54.56,54,54.43,6945147,54.71790366,0.327025
9/26/16,54.28,54.34,53.86,54.04,7755629,54.6533414,0.900025
9/27/16,54,54.21,53.82,54.19,6463747,54.60921365,-0.247925
9/28/16,53.88,54.08,53.53,53.98,8593496,54.54928854,2.544175
9/29/16,53.88,53.995,52.91,53.45,11993517,54.44459439,-0.2287
9/30/16,53.65,54.385,53.56,54.14,13767754,54.4155854,-1.30265
10/3/16,54.1,54.15,53.665,53.84,5479037,54.36076775,0.367275
10/4/16,54.13,54.13,53.41,53.53,6176358,54.28164701,-0.4811
10/5/16,53.5,53.76,53.275,53.35,7451916,54.19291872,-0.411575
10/6/16,53.3,53.48,53.03,53.14,6130270,54.09264075,0.5645
10/7/16,53.37,53.605,53,53.46,7279723,54.03238925,-0.43255
10/10/16,53.53,53.6,53.27,53.3,7224335,53.96263789,-1.024775
10/11/16,53.13,53.4,52.74,52.92,9720407,53.86333904,-1.260025
10/12/16,53.01,53.47,52.78,53.16,6320462,53.79635437,-1.5327
10/13/16,52.88,53.13,52.6662,52.95,6958128,53.7157492,-0.7007
10/14/16,53.12,53.37,52.96,53.08,6430136,53.65520165,-0.0676
10/17/16,52.94,53.145,52.69,52.76,5223526,53.56994435,0.48285
10/18/16,53.24,53.3197,52.59,52.61,6550399,53.47852108,-0.2606
10/19/16,52.91,53.74,52.9,53.15,9095261,53.44723336,3.1179
10/20/16,53.36,53.74,52.91,53.59,9286800,53.46083018,1.475075
10/21/16,53.42,53.7,53.25,53.63,6767204,53.47694159,0.053425
10/24/16,53.9,54.46,53.8939,54.18,6919714,53.54389954,0.79935
10/25/16,54.1,54.17,53.5,53.67,6052830,53.5559091,-0.418525
10/26/16,53.6,53.84,53.355,53.63,5817798,53.56296538,0.12565
10/27/16,53.6,53.83,53.13,53.59,7899957,53.56554011,0.81825
10/28/16,53.65,53.84,53.11,53.53,6620333,53.56215533,0.626675
10/31/16,53.7,53.7,53.055,53.07,9142509,53.5152834,1.326125
11/1/16,53.14,53.21,52.085,52.5,15425819,53.41858974,-0.739875
11/2/16,52.34,53.46,52.31,52.98,10851658,53.37681929,-0.14435
11/3/16,52.99,53,51.34,51.77,21847292,53.22378888,-0.8759
11/4/16,51.43,53.74,50.84,52.75,21956848,53.17866613,2.52145
11/7/16,53.5,54.68,53.19,54.49,14916848,53.30355507,0.771875
11/8/16,54.4,54.79,54.115,54.62,9351994,53.42893078,-0.190275
11/9/16,53.2,54.82,52.8,54.58,13727777,53.53855642,-0.039225
11/10/16,54.64,54.817,53.51,53.57,13621701,53.54155104,-1.1733
11/11/16,53.43,53.99,53.25,53.93,8436435,53.57854618,-0.4839
11/14/16,53.93,54.47,53.5,54.22,10489826,53.63963702,0.21165
11/15/16,54.09,54.69,53.9,54.59,9588036,53.73014778,-0.58035
11/16/16,54.33,55.52,54.26,55.44,10779155,53.89299085,1.148275
11/17/16,55.215,55.9,55.06,55.85,8744504,54.07937267,0.069525
11/18/16,55.72,56.12,55.42,55.77,8740953,54.2403848,-0.18925
11/21/16,55.51,56.16,55.51,56.1,8004000,54.41749101,-0.52755
11/22/16,56.32,57.15,55.88,57.12,10268720,54.67487282,0.41435
11/23/16,56.91,57.64,56.9,57.59,8183628,54.95250398,0.18075
11/25/16,57.7,57.7,57.255,57.43,3228848,55.18845598,-1.058975
11/28/16,57,57.86,56.76,57.59,8750925,55.41717446,-0.3318
11/29/16,57.64,58.21,57.5,58.17,10582850,55.67934832,0.716775
11/30/16,58.19,58.25,57.86,57.97,9527959,55.89750562,1.0097
12/1/16,57.34,58.52,57.2,58.51,12381607,56.14631461,2.488325
12/2/16,56.649,57.75,56.57,57.21,16869957,56.24761798,3.194375
12/5/16,56.96,57.84,56.96,57.5,7701167,56.36689246,-0.59645
12/6/16,57.66,57.7,57.14,57.44,7035674,56.46909318,0.211575
12/7/16,57.54,58.85,57.45,58.76,9094812,56.68727478,3.171475
12/8/16,59,59.25,58.4118,58.65,7972498,56.87420099,1.333
12/9/16,58.92,58.95,58.43,58.75,7091577,57.05284852,-0.49705
12/12/16,58.54,58.79,58.34,58.77,7736198,57.21638675,0.079175
12/13/16,58.99,59.54,58.66,59.31,8878080,57.41577849,-0.46525
12/14/16,59.03,59.25,58.6,58.75,9022867,57.54284721,-0.438475
12/15/16,57.9675,58.21,57.52,57.71,11837756,57.55876652,0.184475
12/16/16,58.01,58.07,57.56,57.66,10611461,57.5684078,-0.1257
12/19/16,57.44,57.98,57.44,57.65,6433824,57.57617849,-0.09915
12/20/16,57.81,58.06,57.32,57.7,4888284,57.58797101,-0.250325
12/21/16,57.5,57.87,57.41,57.44,5380537,57.57387854,-0.088225
12/22/16,57.31,57.4,56.72,57.11,6777656,57.52969963,-0.7187
12/23/16,57.29,57.36,56.89,57.01,4298476,57.48020443,-0.258875
12/27/16,56.99,57.3869,56.81,56.86,4186157,57.42113734,-0.354475
12/28/16,56.8,56.9,56.25,56.35,5548726,57.31912426,-0.5556
12/29/16,56.35,56.47,56.135,56.32,3781721,57.22396957,0.812375
12/30/16,56.28,56.45,55.4,55.52,8344508,57.06168675,-1.5059
1/3/17,55.91,55.95,55.04,55.35,7809307,56.89866896,-0.069925
1/4/17,55.56,56.195,55.38,55.99,7796290,56.81212906,0.373275
1/5/17,56.08,56.53,55.8099,56.46,7602321,56.77859296,2.506075
1/6/17,56.63,57.27,56.08,57.13,8587812,56.8120603,0.455175
1/9/17,57.26,58.335,57.25,58.2,12640515,56.94424503,1.86325
1/10/17,58.22,58.26,57.83,57.88,6672024,57.03336455,2.602675
1/11/17,57.8,58.12,57.59,58.1,6027960,57.13494888,0.87165
1/12/17,58,58.13,57.64,58.03,4733015,57.22019185,0.0445
1/13/17,58.03,58.1,57.65,57.85,4745840,57.28017357,0.641775
1/17/17,57.62,58.25,57.41,58,5734666,57.34872847,1.3579
1/18/17,58.32,58.58,58.03,58.45,7375725,57.45361147,-0.959625
1/19/17,58.31,58.45,57.715,57.89,7850480,57.49517229,1.22595
1/20/17,58.14,58.2,57.41,57.66,7651562,57.51087016,0.538225
1/23/17,57.42,57.9,57.15,57.76,6814368,57.53459682,0.396825
1/24/17,57.93,58.5,57.76,58.44,10704103,57.62082569,0.822025
1/25/17,58.67,58.93,58.45,58.7,7124547,57.7236042,2.31065
1/26/17,58.7,59,58.26,58.46,12382416,57.79373713,1.430225
1/27/17,55.75,56.59,55.65,56.12,28884899,57.63433359,-2.89045
1/30/17,56,56.24,55.58,55.9,13322010,57.46915897,-1.121
1/31/17,55.8,55.87,54.88,55.22,14307985,57.25495335,-2.564625
2/1/17,55.49,55.5,53.81,53.9,18796871,56.93543398,0.141275
2/2/17,54.04,54.39,53.85,53.87,15289650,56.64348789,0.191275
2/3/17,54.21,55.1,54.01,55.06,14161693,56.49267952,-0.339625
2/6/17,55.01,55.75,54.9,55.73,13029829,56.42004337,0.3405
2/7/17,55.79,55.84,55.1801,55.24,9910498,56.30765829,-0.1
2/8/17,55.19,55.4957,55.1,55.22,11681938,56.20407179,-0.60265
2/9/17,55.23,56.12,55.21,55.81,11106757,56.16654114,0.2812
2/10/17,55.73,56.395,55.56,56.22,11178950,56.17163246,-1.0127
2/13/17,56.5,56.66,56.03,56.11,8027939,56.1657627,0.3864
2/14/17,56.02,56.61,56.02,56.58,8865947,56.20521387,1.177925
2/15/17,56.56,56.88,56.305,56.86,6967179,56.26757446,0.37215
2/16/17,56.96,56.99,56.53,56.73,8524519,56.31161499,0.755925
2/17/17,56.8,57.57,56.71,57.35,11008366,56.4105088,1.28685
2/21/17,57.41,57.81,57.4,57.54,8289185,56.51807939,0.587775
2/22/17,57.52,57.85,57.35,57.57,7876599,56.6182623,0.850075
2/23/17,57.6,57.79,57.39,57.64,7178627,56.71557065,-1.1881
2/24/17,57.61,57.71,57.145,57.48,7806190,56.78837345,0.68705
2/27/17,57.24,57.3,56.66,56.78,7702400,56.78757598,-0.1559
2/28/17,56.71,57.06,56.55,56.87,8750655,56.79542588,1.70635
3/1/17,57.27,57.4,56.94,57.14,7197973,56.82824247,0.300225
3/2/17,57.07,57.19,56.85,57.12,6595418,56.8560289,-1.149125
3/3/17,56.7,57.26,56.7,57.1,7738064,56.87926424,-1.88905
3/6/17,56.78,56.81,56.33,56.68,9159983,56.8602867,1.05985
3/7/17,56.58,56.75,56.02,56.2,10890313,56.79740225,1.64005
3/8/17,56.15,56.35,55.54,55.74,13061632,56.69669727,-1.3781
3/9/17,55.75,55.8,54.81,55.19,17844248,56.55320229,-1.068
3/10/17,55.39,55.4,54.415,54.53,13886431,56.36051636,-0.6418
3/13/17,54.57,54.8847,54.4,54.63,9090230,56.19570528,-0.387375
3/14/17,54.62,54.74,54.19,54.27,7892888,56.01230478,0.5727
3/15/17,54.39,54.65,54.09,54.54,8712006,55.87208527,0.0126
3/16/17,54.85,54.985,54.66,54.8,8074278,55.76998191,1.28295
3/17/17,55.04,56.13,54.95,55.78,15822141,55.77093602,1.397525
3/20/17,55.87,56.05,55.51,55.81,7948425,55.7746564,1.233075
3/21/17,56.05,56.45,55.485,55.54,8030642,55.75230817,0.098475
3/22/17,55.68,56.04,55.51,55.89,8452070,55.76542168,1.26645
