Date,Open,High,Low,Close,Volume,RSI,SSO,SMA,S-Open,S-High,S-Low,S-Close
12/15/2015,221.82,222.22,218,221.09,2244424,46.8352981447,17.1899210145,26.7580700896,-0.6662,-0.2238,-1.0227,-0.3933
12/16/2015,222.1,234.88,220.73,234.51,5104341,57.9573657289,41.5367326872,28.5385099157,-0.3145,0.6844,-0.9893,0.6844
12/17/2015,233.94,237.76,229.8149,233.39,3298638,56.8877419894,62.3402163225,40.3556233414,0.2379,1.0714,0.1614,0.2064
12/18/2015,232.89,235.9,229.29,230.46,3014170,54.0760875781,75.5021772721,59.7930420939,0.9774,1.7917,0.7985,1.6649
12/21/2015,231.69,235.83,231.08,232.56,1953174,55.7636464087,72.7630285152,70.2018073699,-0.4404,1.1339,-0.4412,0.7914
12/22/2015,234.99,236.55,229.63,229.95,1961495,53.1495274582,68.7420042644,72.3357366839,1.9465,2.2289,1.6316,2.1733
12/23/2015,232.18,233.45,228.13,229.7,1554979,52.8937497325,68.4793554884,69.9947960893,0.5339,1.5331,0.5042,1.1908
12/24/2015,230.56,231.88,228.28,230.57,710277,53.7282814944,66.4191058686,67.8801552071,-0.044,-0.044,-0.8548,-0.4891
12/28/2015,231.49,231.98,225.54,228.95,1901304,51.8850207449,64.9628658803,66.6204424124,0.4642,0.969,0.2784,0.9204
12/29/2015,230.06,237.72,229.547,237.19,2406290,59.4965618345,75.870103393,69.0840250473,1.5633,3.7466,1.5633,3.7466
12/30/2015,236.6,243.634,235.6707,238.09,3697921,60.2364689732,79.9796093582,73.6041928772,3.1215,3.7957,3.0948,3.6035
12/31/2015,238.51,243.45,238.37,240.01,2715038,61.8380867123,87.890770723,81.2468278247,2.449,2.472,1.6731,1.7486
01/04/2016,230.72,231.38,219,223.41,6827146,44.9721880115,65.9389051129,77.936428398,-1.8712,-0.0548,-2.0695,-0.458
01/05/2016,226.36,226.89,220,223.43,3186752,44.9916545448,47.0286909887,66.9527889415,-0.7317,0.0513,-0.7319,0.0506
01/06/2016,220,220.05,215.98,219.04,3779128,41.5196575319,20.7551308926,44.5742423314,-0.1206,0.324,-0.4135,0.2839
01/07/2016,214.19,218.44,213.67,215.65,3554251,39.015810066,12.5762744439,26.7866987751,0.0933,0.4084,-0.2265,-0.1192
01/08/2016,217.86,220.44,210.77,211,3628058,35.8244785492,5.8243628567,13.0519227311,-0.7815,0.9226,-0.7815,0.8069
01/11/2016,214.01,214.45,203,207.85,4091422,33.8071258776,6.823761381,8.4081328939,0.096,0.5955,-0.2817,0.0024
01/12/2016,211.6,213.7395,205.31,209.97,3091917,36.4027986709,10.5579504433,7.735358227,-0.0206,0.3905,-0.1347,0.0361
01/13/2016,212.01,212.65,200,200.31,4126416,30.5283400871,9.7116139053,9.0311085765,0.0609,0.145,-0.4421,-0.431
01/14/2016,202.21,210,193.38,206.18,6490741,37.1640434222,14.9269264507,11.7321635998,-0.9765,-0.3479,-1.6459,-0.3624
01/15/2016,198.97,205.07,197.25,204.99,5578640,36.4048848659,17.1497551026,13.9294318195,0.4289,0.4468,-1.203,-1.1204
01/19/2016,208.71,210.47,200.78,204.72,4038676,36.2240807172,23.7128719439,18.5965178324,0.2582,2.2333,0.2565,2.0038
01/20/2016,199.4,201.28,191.25,198.7,5838608,32.3645403827,19.8833163279,20.2486477915,1.2396,1.2396,-0.8987,-0.2967
01/21/2016,201.55,203.23,195.02,199.97,3166159,33.9630567461,17.7669564319,20.4543815679,-0.1838,0.6621,-0.2759,0.4138
01/22/2016,204.8005,205.5,199.03,202.55,3124055,37.209709218,18.9822684744,18.8775137447,0.2638,0.9874,-1.2933,-1.2921
01/25/2016,200.06,203.57,195.88,196.38,2698739,33.0277655741,19.6530436821,18.8007561961,0.3429,0.4822,-0.6608,0.1152
01/26/2016,196.7,197.82,188.88,193.56,4964180,31.2964901569,19.6683126805,19.4345416123,-1.5363,-1.2356,-2.5511,-2.4052
01/27/2016,192.38,193.26,185.77,188.07,3617221,28.1975945258,11.8877000098,17.0696854575,-0.2588,1.3135,-0.3768,0.9658
01/28/2016,190.79,191.28,182.41,189.7,4592754,30.4010975411,13.6869365049,15.0809830651,0.0877,1.0557,-0.512,0.7778
01/29/2016,189.95,193.74,188.08,191.2,2852289,32.4553506122,17.5482146267,14.3742837138,1.3593,1.6206,0.7913,1.2765
02/01/2016,188.76,199.52,182.75,196.94,5297639,39.7801621093,30.1875255795,20.4742255704,-0.7516,1.8234,-0.8813,1.7074
02/02/2016,192.42,193.12,180.23,182.78,5773637,30.8828485386,27.0071354376,24.9142918813,0.7612,1.1527,-1.8046,-1.8046
02/03/2016,183.59,183.94,170.18,173.48,7931362,26.6646030593,19.5887139019,25.5944583063,-2.2869,-2.2492,-3.3374,-3.2919
02/04/2016,170.7,175.98,166.99,175.33,4385366,28.7494593557,12.2127549703,19.6028681033,-1.7697,-0.2876,-1.79,-0.456
02/05/2016,171.3,173,157.7442,162.6,9437591,23.7467238816,12.0852070174,14.6288919632,0.1491,0.1578,-1.9397,-1.4451
02/08/2016,157.105,157.15,146,147.99,9312988,19.543466758,9.7528801111,11.3502806996,0.2904,1.1664,0.0373,0.4036
02/09/2016,142.32,159.79,141.05,148.25,8651648,19.8154741061,7.950041828,9.9293763188,-0.0939,0.4233,-0.4919,-0.1112
02/10/2016,150.5,154.97,141.74,143.67,10406513,18.6212005614,6.2685774947,7.9904998113,-0.0943,0.1281,-1.479,-0.1012
